SampleYear,DoubleReadYear,Source,SampleType,SpeciesID,SpecimenID,DoubleReadSampleID,Original_Age_Estimate,Original_Age_Date,Original_AgerID,DoubleRead_Age_Estimate,DoubleRead_Age_Date,DoubleRead_AgerID,Purpose
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-21,818,4,4/12/1997,mmann,4,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-22,818,3,4/12/1997,mmann,3,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-3,818,4,4/12/1997,mmann,4,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-4,818,4,4/12/1997,mmann,4,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-5,818,4,4/12/1997,mmann,4,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-6,818,3,4/12/1997,mmann,3,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-7,818,14,4/12/1997,mmann,14,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-8,818,8,4/12/1997,mmann,4,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-9,818,4,4/12/1997,mmann,4,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-1,818,8,4/21/1997,mmann,7,4/25/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-10,818,7,4/21/1997,mmann,10,4/25/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-11,818,7,4/21/1997,mmann,11,4/25/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-2,818,7,4/21/1997,mmann,7,4/25/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-3,818,18,4/21/1997,mmann,19,4/25/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-4,818,8,4/21/1997,mmann,8,4/25/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-5,818,5,4/21/1997,mmann,4,4/25/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-6,818,6,4/21/1997,mmann,6,4/25/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-7,818,10,4/21/1997,mmann,10,4/25/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-8,818,7,4/21/1997,mmann,8,4/25/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-9,818,5,4/21/1997,mmann,9,4/25/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-1,819,4,4/3/1997,mmann,6,4/30/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-2,819,10,4/3/1997,mmann,13,4/30/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-3,819,24,4/3/1997,mmann,18,4/30/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-4,819,20,4/3/1997,mmann,21,4/30/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-5,819,27,4/3/1997,mmann,14,4/30/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-6,819,29,4/3/1997,mmann,20,4/30/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-7,819,38,4/3/1997,mmann,28,4/30/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-8,819,28,4/3/1997,mmann,19,4/30/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-9,819,39,4/3/1997,mmann,34,4/30/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-1,819,7,4/12/1997,mmann,4,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-10,819,5,4/12/1997,mmann,4,5/9/97,bpederson,
