"#year","month","fleet","sex","partition","input_n","U-18","U-20","U-22","U-24","U-26","U-28","U-30","U-32","U-34","U-36","U-38","U-40","U-42","U-44","U-46","U-48","U-50","U-52","U-54","U-56","U-58","U-60","U-62","U-64","U-66","U-68","U-70","U-72","U-74","U-76","U-78","U-80","U-82","U-84","U-86","U-88","U-90","U-18.1","U-20.1","U-22.1","U-24.1","U-26.1","U-28.1","U-30.1","U-32.1","U-34.1","U-36.1","U-38.1","U-40.1","U-42.1","U-44.1","U-46.1","U-48.1","U-50.1","U-52.1","U-54.1","U-56.1","U-58.1","U-60.1","U-62.1","U-64.1","U-66.1","U-68.1","U-70.1","U-72.1","U-74.1","U-76.1","U-78.1","U-80.1","U-82.1","U-84.1","U-86.1","U-88.1","U-90.1"
2012,7,3,0,1,205,0,0,0,0,0,0,0,0,0,0.0148032132040073,0.0280481934391718,1.07960245233816,11.0277225535005,11.503245568546,26.9660981898321,19.6342079552712,10.6670506753367,10.9638141130654,7.01506720267736,0.60637372303064,0.155419544212199,0.0900494631468148,0.0211591634716559,0.0693823732442671,0.0211591634716559,0.0683982261060505,0.0683982261060505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,3,0,1,90,0,0,0,0,0,0,0,0,0,0,0.00684825125452852,0.152422506493649,1.05004946202481,9.31065757574581,19.4320235147336,27.2049571882858,16.1033347479471,12.9037955020743,7.06422667943435,1.70151327320327,1.03203146405745,0.809463298285271,1.08039533625054,0.285876444036263,0.857827170478363,0.54939715231052,0.0680259624616499,0.057829677260463,0.113072237380326,0.072743646659214,0.00684825125452852,0.0287626552690198,0.0509814260059345,0.00684825125452852,0.0213056705696443,0.0287626552690198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,3,0,1,184,0,0,0,0,0,0,0,0,0,0,0,0,3.46371006308891,0.640707157326656,3.7023540875444,16.730205327377,20.3539396346031,27.3074404355526,17.3042724316457,9.33820359966936,0.341774974316375,0.135035396340291,0.243944374350775,0.0727764219256288,0.033966501253879,0,0.291105687702515,0.00596528048570728,0.00596528048570728,0.028633346331395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,3,0,1,348,0,0,0,0,0,0,0,0,0.00985254115367272,0.117277022119524,0.430714960369589,0.545449391223649,5.7832413438898,8.41153465154562,16.2027898947706,12.2013346999555,20.8742853588277,12.6764341535541,9.92812766911375,3.64456240912419,4.68098244943804,2.28233514543737,1.1981621222661,0.765002146996459,0.101022599386736,0.0654717250856961,0.0165268432255155,0.0617146334346304,0.00317823908182991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,3,0,1,474,0,0,0,0,0,0.0295821403718687,0,0.172677144961373,0.101129642666621,0,0.156510161269771,1.15689654784008,2.09322307995673,4.14895720154553,10.7513668282388,15.5975407513998,21.7263434887793,17.958810335393,11.5131623544944,5.5850416074126,3.58482189148961,2.69023549089524,1.98582200611077,0.387698905251971,0.332662151809208,0.0120392431745977,0.0137591350566831,0.00171989188208539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,3,0,1,142,0,0,0,0,0,0,0,0,0,0,0,0.830528920299717,2.41148031293233,4.60601026644002,5.13213284293827,11.9918328824405,13.8906292371617,17.815192484423,19.5896758854216,12.8012703096424,6.13959129423174,1.97043446722993,2.75308457787856,0.0681365189602872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,3,0,1,337,0,0,0,0,0,0,0,0,0,0,0.0899706107488253,2.25668685327294,4.22276277562581,6.66277485039759,8.72769636240336,14.4053179620878,18.9387339786011,15.2850171715774,13.480408401911,8.64210619808287,4.48755299122411,1.76206592372228,0.939768492651881,0.0991374276930452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,3,0,1,431,0,0,0,0,0,0,0,0,0,0,0.207599616335018,0.491832684793704,0.779579809258062,2.79371770017244,4.94058185342809,10.0734285296094,14.2817441951685,14.1796212359564,16.777846068916,15.7944008321312,10.3350265986576,5.86132368480354,1.9848901943519,1.13713500783507,0.228278484368389,0.130966164211349,0,0,0.00202734000327166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,3,0,1,289,0,0,0,0,0,0,0,0,0,0,0.0805170978700022,0.321329702508724,0.206463567473996,1.30304734534572,4.32529513118494,9.23442951884186,14.5443712429048,20.2504578433319,20.3538089825832,13.7433420793206,7.28707436559943,4.8000932715276,2.39815374527488,0.589104454599328,0.250046216779778,0.0395198599637167,0.258541139949548,0.00184672242821106,0,0,0,0,0,0,0,0.0125577125118352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,1,203,0,0.00986326571847933,0,0,0,0,0,0,0,0.308905102948896,1.03353606600137,2.53745319974993,3.56273799606797,6.84443558801767,11.0529599133903,18.7314987224672,27.8605723465914,15.756930586387,7.45469705319037,1.75232438894108,1.81910015964439,0.929771310737152,0.00986326571847933,0.00986326571847933,0,0.325487768709818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,3,0,1,311,0,0,0,0,0,0,0,0.203836808544328,0.0295805394985173,0,0.145213557538176,0.69828000816197,4.76290923889322,10.6774424719493,11.9862705232652,13.147016157225,8.48886650508994,12.6649215384965,12.619581500641,11.1224966801293,9.71836928902231,2.36745147979869,0.764589609972214,0.436716328596292,0.0960022963724608,0.0704554668055594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,3,0,1,671,0,0,0.000483125199244703,0.000483125199244703,0,0,0.00376837655410868,0.000483125199244703,0.00425150175335339,0.0873490360234423,0.352898565694198,1.22559568753987,5.64370158872182,11.5317176334733,19.3252184971045,15.913126299735,10.3269609802043,10.232232485925,6.7455867577317,6.12206901912437,4.70082631660151,2.98817552477921,2.8930388151362,1.13247951259678,0.452978186811834,0.277152822633378,0.0394230162583678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
