"year","sex","age","pred_weight"
2001,"F",3,1.35908458192979
2001,"F",4,1.78604555903025
2001,"F",5,2.05289255424885
2001,"F",6,2.34091352050839
2001,"F",7,2.39794862199418
2001,"F",8,2.45616680403
2001,"F",9,2.66011798153266
2001,"F",10,2.99253296445889
2001,"F",11,3.11984432067815
2001,"F",12,2.87145167575248
2001,"F",13,2.7693238442745
2001,"F",14,2.80014769103517
2001,"F",15,3.04769760995156
2001,"F",16,3.19902060601802
2001,"F",17,3.24494626945371
2001,"F",18,3.36215270700554
2001,"F",19,3.14152318907291
2001,"F",20,2.98462213725369
2001,"F",21,3.0627611838302
2001,"F",22,3.13111148408978
2001,"F",23,3.49994005837396
2001,"F",24,3.41521209271094
2001,"F",25,3.32000229428736
2001,"F",26,3.20920427109696
2001,"F",27,3.08868161027881
2001,"F",28,3.06878280642
2001,"F",29,3.40077958649745
2001,"F",30,3.30495949398204
2001,"M",0,0.236012561949209
2001,"M",1,0.488030897186322
2001,"M",2,0.868587627057869
2001,"M",3,1.19205143220376
2001,"M",4,1.46892054917025
2001,"M",5,1.58520390042003
2001,"M",6,1.72863414450659
2001,"M",7,1.73934659292351
2001,"M",8,1.78841467908484
2001,"M",9,1.95814361170882
2001,"M",10,2.21013722827083
2001,"M",11,2.28113557667207
2001,"M",12,2.06241729975974
2001,"M",13,1.96149280863874
2001,"M",14,1.98077442000729
2001,"M",15,2.17963496676341
2001,"M",16,2.32006259928539
2001,"M",17,2.36671212716401
2001,"M",18,2.43236110087645
2001,"M",19,2.23290087815826
2001,"M",20,2.08690152138086
2001,"M",21,2.13068808207434
2001,"M",22,2.1971853694924
2001,"M",23,2.49545448822532
2001,"M",24,2.46596601873933
2001,"M",25,2.40178839206977
2001,"M",26,2.30238095980727
2001,"M",27,2.19110100901035
2001,"M",28,2.16436996382368
2001,"M",29,2.40609041141946
2001,"M",30,2.35984025342256
2001,"U",0,0.164270717747454
2001,"U",1,0.358948619964805
2001,"U",2,0.688623590928644
2001,"U",3,1.04885806132077
2001,"U",4,1.45802346706737
2001,"U",5,1.74974320318801
2001,"U",6,2.03076234647813
2001,"U",7,2.06245414521051
2001,"U",8,2.06470893788596
2001,"U",9,2.18995697245418
2001,"U",10,2.43934981414205
2001,"U",11,2.53340140353967
2001,"U",12,2.30296470387773
2001,"U",13,2.14921173804905
2001,"U",14,2.06604296353688
2001,"U",15,2.14281891433218
2001,"U",16,2.20692010921177
2001,"U",17,2.30076654218626
2001,"U",18,2.55372804862358
2001,"U",19,2.59629871631798
2001,"U",20,2.64001961925774
2001,"U",21,2.7986901686341
2001,"U",22,2.86849251139777
2001,"U",23,3.20019770266944
2001,"U",24,3.19081673914347
2001,"U",25,3.28202576232175
2001,"U",26,3.42993765045986
2001,"U",27,3.54057047123969
2001,"U",28,3.64527789437496
2001,"U",29,4.01911698655601
2001,"U",30,3.79050885856346
2003,"F",0,0.214793259416933
2003,"F",1,0.46877921966758
2003,"F",2,0.855710226927256
2003,"F",3,1.37632630411675
2003,"F",4,1.74094307679561
2003,"F",5,1.77386586121309
2003,"F",6,1.87185372597823
2003,"F",7,2.0100589682961
2003,"F",8,2.35200544658953
2003,"F",9,2.484889229618
2003,"F",10,2.48680458623946
2003,"F",11,2.49926842228755
2003,"F",12,2.60642143877564
2003,"F",13,2.65471975301969
2003,"F",14,2.55157112311103
2003,"F",15,2.65207467030246
2003,"F",16,2.81615360958914
2003,"F",17,3.02223771017301
2003,"F",18,2.96531586395186
2003,"F",19,2.79784504120245
2003,"F",20,2.82461868443954
2003,"F",21,2.73981739340011
2003,"F",22,2.79567555480249
2003,"F",23,3.02065972011455
2003,"F",24,3.06440034114195
2003,"F",25,3.21383469259013
2003,"F",26,2.90405817815893
2003,"F",27,2.71645176904735
2003,"F",28,2.68744889527431
2003,"F",29,2.76075555684486
2003,"F",30,2.91918529591267
2003,"M",0,0.208252512029326
2003,"M",1,0.445950433015907
2003,"M",2,0.789128424757627
2003,"M",3,1.20717412574314
2003,"M",4,1.43182633136708
2003,"M",5,1.3697448881078
2003,"M",6,1.38225963321581
2003,"M",7,1.45799171258876
2003,"M",8,1.71257141781516
2003,"M",9,1.82915570082237
2003,"M",10,1.83663119529789
2003,"M",11,1.82738929501904
2003,"M",12,1.87205959661044
2003,"M",13,1.88031952827225
2003,"M",14,1.8049357995182
2003,"M",15,1.89669561277461
2003,"M",16,2.04239155295192
2003,"M",17,2.20427891431405
2003,"M",18,2.14526810286148
2003,"M",19,1.98862471274494
2003,"M",20,1.97502422712099
2003,"M",21,1.90602398188851
2003,"M",22,1.96180093173694
2003,"M",23,2.15372798683396
2003,"M",24,2.21266114780909
2003,"M",25,2.32498359172097
2003,"M",26,2.08345985195895
2003,"M",27,1.92704233167961
2003,"M",28,1.8954204435955
2003,"M",29,1.95326609815333
2003,"M",30,2.08438589974785
2003,"U",0,0.144949020260752
2003,"U",1,0.327998275163824
2003,"U",2,0.625627665686581
2003,"U",3,1.06216416422804
2003,"U",4,1.42120443006766
2003,"U",5,1.51192020624797
2003,"U",6,1.62384899379189
2003,"U",7,1.72883372615058
2003,"U",8,1.97714856318469
2003,"U",9,2.04569892461796
2003,"U",10,2.02710759657336
2003,"U",11,2.02947630651947
2003,"U",12,2.09040487347137
2003,"U",13,2.06027000641932
2003,"U",14,1.88263482735034
2003,"U",15,1.86465866796927
2003,"U",16,1.94279024647101
2003,"U",17,2.1428593353166
2003,"U",18,2.25231003904839
2003,"U",19,2.31226734667976
2003,"U",20,2.4984900603545
2003,"U",21,2.50359056502485
2003,"U",22,2.56119094896424
2003,"U",23,2.76196395813355
2003,"U",24,2.86305495486552
2003,"U",25,3.17707258066469
2003,"U",26,3.10380319947301
2003,"U",27,3.11388162769153
2003,"U",28,3.19230739618041
2003,"U",29,3.26272234704629
2003,"U",30,3.34805849938363
2004,"F",0,0.214092736099473
2004,"F",1,0.44635472538686
2004,"F",2,0.885943558809773
2004,"F",3,1.35711714652311
2004,"F",4,1.79208531249034
2004,"F",5,1.949654152352
2004,"F",6,1.85465498616544
2004,"F",7,1.95843029804519
2004,"F",8,2.15655991482398
2004,"F",9,2.53798318850749
2004,"F",10,2.60481213290202
2004,"F",11,2.49012001153772
2004,"F",12,2.42871171352156
2004,"F",13,2.54978357878328
2004,"F",14,2.69402831145503
2004,"F",15,2.69012335592263
2004,"F",16,2.82639346871998
2004,"F",17,2.9275357063548
2004,"F",18,3.01073596929963
2004,"F",19,2.86733902477875
2004,"F",20,2.71577604725964
2004,"F",21,2.83535125082245
2004,"F",22,2.85632735511143
2004,"F",23,2.95477942608635
2004,"F",24,3.12497441542826
2004,"F",25,3.03878347830966
2004,"F",26,3.07888098256438
2004,"F",27,2.77099376586194
2004,"F",28,2.66348713412366
2004,"F",29,2.73704797863015
2004,"F",30,2.88082752378572
2004,"M",0,0.207573320601289
2004,"M",1,0.424617975186951
2004,"M",2,0.817009336791711
2004,"M",3,1.1903257970038
2004,"M",4,1.47388790172439
2004,"M",5,1.50548520446524
