year,sex,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50
2013,3,0,0,1287.4144,11569.8715,6428.1468,42984.1689,5616.9633,3788.8682,1961.2746,1932.7202,4297.0901,1117.2126,3792.4213,9400.3682,4726.5818,2461.7245,2624.2871,1407.6379,2368.8602,2904.5708,2027.0664,264.5566,1044.6722,1630.6947,2278.1482,2308.449,992.2068,1378.2034,990.2202,725.9886,496.017,647.4535,264.5566,1514.3022,468.6226,308.3933,400.667,404.7524,487.2242,0,621.0085,104.3273,635.3882,42.366,160.2293,0,487.2242,139.1984,148.164,0,355.3479,0,0,0,1771.1282,3881.2943,11496.9504,2602.9479,1084.3468,2039.9133,1721.6254,1494.9382,1401.6429,5398.4843,5389.2255,3642.4095,1523.1386,775.0666,703.7788,749.1544,164.9474,725.6476,487.8026,42.366,0,271.0193,243.5257,751.7808,292.3192,33.75,0,356.8186,243.5257,193.7398,264.5566,285.8917,655.4069,104.3273,0,0,160.2293,29.457,0,0,33.75,208.6546,0,264.5566,104.3273,0,160.2293,1863.2389
2014,3,0,0,0,0,920.4395,788.9481,394.4741,131.4914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.9827,1446.4049,920.4395,788.9481,131.4914,0,0,0,0,131.4914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,159.2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,0,0,8776.892,5118.2414,17879.4118,49946.0303,16852.1603,17554.3179,3096.6532,662.0588,562.1227,112.8145,432.8312,3.4804,546.3368,63.568,2505.9138,3.4804,706.8479,756.7738,535.8957,641.2951,0,641.2951,92.3233,0,3.4804,3.4804,0,542.8564,641.2951,0,641.2951,6.9608,0,535.8957,641.2951,3.4804,0,0,0,0,0,0,6.9608,641.2951,0,0,0,0,1825.4467,0,0,4938.2643,1800.4986,5991.7589,13218.6267,4894.7875,1391.8992,200.7113,3.4804,701.3828,0,3.4804,71.4289,602.2808,1832.8798,641.2951,1282.5903,641.2951,0,0,0,3.4804,0,0,0,0,3.4804,1282.5903,3.4804,3.4804,0,0,1177.1908,0,0,641.2951,0,3.4804,3.4804,178.124,0,0,0,0,0,0,641.2951,0,535.8957,893.6526
2016,0,0,0,0,514.6873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,0,0,444.8101,21528.695,9267.6264,17620.8053,22275.092,30650.4451,21173.3746,6447.4498,3160.9682,1246.5826,2404.1686,1806.5826,3492.1929,2141.9299,2578.4995,2796.079,1589.9709,448.8462,1883.2189,792.834,0,1173.7359,1307.5213,797.1368,0,989.4964,4.3028,0,0,0,0,792.834,0,0,0,0,0,0,0,792.834,196.6623,0,0,792.834,0,0,0,0,4.3028,0,0,1559.3141,8512.688,1184.5223,751.2376,3617.2011,8072.3887,1598.6617,753.1679,3386.4005,0,1585.6681,792.834,989.4964,1936.9687,792.834,2336.8959,1446.9067,0,1090.3848,0,0,0,0,0,1090.3848,0,749.4583,1822.2086,0,792.834,0,514.6873,0,0,0,0,0,792.834,903.2913,0,0,0,0,0,0,0,0,0,1585.6681
2017,0,0,0,0,0,134.1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,0,480.5648,2013.4459,12442.5189,92020.577,20594.726,19219.1654,25110.3315,20492.7643,13430.6771,5248.4201,3692.6938,4118.9232,1823.8861,3398.4639,2217.0914,2786.0752,2131.975,3958.1935,403.462,1057.2513,1316.3504,981.7771,643.7659,1070.9996,1064.124,633.4524,352.3947,341.449,971.4636,2537.2474,1890.9766,636.8902,978.3392,67.8799,0,3.4378,633.4524,0,3.4378,0,0,0,0,0,3.4378,0,0,0,0,1266.9048,0,0,970.751,4368.1586,24143.1798,4824.6759,7467.3695,7399.8823,9335.5853,5190.5189,2800.3646,1581.8069,1160.6679,2108.6457,758.3328,2772.1598,1139.5968,872.9989,1370.3238,2982.0837,1341.7261,0,0,1064.124,338.0112,434.1094,0,430.6716,1124.0925,239.1429,0,971.4636,3.4378,430.6716,1266.9048,0,0,0,0,0,633.4524,0,0,0,0,0,0,0,0,0,342.0513
2018,3,0,0,9019.7448,9376.4872,44156.4268,161097.3346,25212.0661,25501.8058,43114.2302,15686.2723,16061.2253,6965.3369,3577.1044,1012.9524,2490.4371,2040.5856,3724.9879,2509.0925,2515.9356,1918.3145,1918.3145,1444.1588,990.0236,1503.8774,950.517,0,1244.3478,2330.3946,2948.0362,276.3588,0,0,1422.1242,535.8884,0,0,2.9083,454.1352,0,0,0,454.1352,0,0,0,0,0,0,0,0,457.0435,0,0,3593.7994,4003.6683,12222.0479,35223.1963,5959.6757,7371.9048,12196.1087,8634.4263,12934.5288,6440.4063,535.8884,908.2704,3145.5502,3178.9465,4892.4083,1422.1242,4682.8238,908.2704,1362.4056,908.2704,2330.3946,1184.6292,1362.4056,2.9083,454.1352,2493.901,454.1352,454.1352,990.0236,454.1352,454.1352,0,454.1352,0,535.8884,454.1352,454.1352,14.5416,0,454.1352,0,0,0,0,0,0,0,454.1352,2888.3176
2019,3,0,0,0,163.5104,327.0208,163.5104,381.5243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,29676.2383,2888.1703,832.0185,444.7031,444.7031,0,0,722.0426,314.6877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,0,0,400.8621,7134.9859,122842.4514,15461.8676,23893.9909,48048.8591,6017.1331,2636.8597,8050.9833,3149.5236,3572.8082,95.8985,1852.3607,641.0012,0,0,2564.0047,1036.8105,1497.7237,858.807,0,641.0012,0,705.0596,641.0012,10.1679,23.9115,0,0,317.2889,317.2889,641.0012,0,0,0,641.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4475.4096,35759.347,14806.8407,5831.8549,20934.8132,4752.9497,2839.7261,1046.6749,3177.5178,1603.7902,2594.0422,0,856.7225,41.9977,0,856.7225,856.7225,1036.8105,0,705.0596,0,641.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,317.2889,95.8985,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,455.1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,3,0,0,0,0,4096.7252,53293.1108,7610.3171,3742.0008,2716.6,0,113.3914,960.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820.7667,455.1917,910.3834,455.1917,910.3834,455.1917,910.3834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,0,0,581.9744,2848.0447,15464.8031,8439.1615,128473.6052,14997.4841,26509.9081,18654.456,8600.4069,6270.1703,3615.3582,922.2458,702.9926,1690.4379,0,0,555.6121,0,0,0,702.9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.1461,83.0481,1801.1429,1336.5089,15252.881,1067.9279,7177.4322,2006.6061,1440.9785,2096.7477,1651.9664,1405.9851,0,0,0,0,0,0,0,1574.0445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
