"year","state","gear_group","catch_mt"
1986,"OR","trawl",2151.9704
1986,"WA","hkl",1667.2473
1986,"WA","pot",33.9273
1986,"WA","trawl",574.2049
1987,"CA","hkl",872.4578
1987,"CA","pot",387.6981
1987,"CA","trawl",3154.4146
1987,"OR","hkl",2002.9596
1987,"OR","pot",3379.3054
1987,"OR","trawl",5095.5811
1987,"WA","hkl",2099.8293
1987,"WA","trawl",848.9312
1988,"CA","hkl",403.8292
1988,"CA","pot",752.3498
1988,"CA","trawl",2700.5154
1988,"OR","hkl",1415.8288
1988,"OR","pot",2401.924
1988,"OR","trawl",4346.5676
1988,"WA","hkl",1956.2175
1988,"WA","pot",179.6983
1988,"WA","trawl",669.0062
1989,"CA","hkl",384.5172
1989,"CA","pot",987.8697
1989,"CA","trawl",2702.735
1989,"OR","hkl",848.9815
1989,"OR","pot",1791.7153
1989,"OR","trawl",5256.1966
1989,"WA","hkl",1621.8633
1989,"WA","pot",162.9785
1989,"WA","trawl",476.0251
1990,"CA","hkl",652.7208
1990,"CA","pot",784.9631
1990,"CA","trawl",2312.946
1990,"OR","hkl",823.1767
1990,"OR","pot",1560.5067
1990,"OR","trawl",5054.7801
1990,"WA","hkl",1155.028
1990,"WA","pot",99.0357
1990,"WA","trawl",355.739
1991,"CA","hkl",807.9614
1991,"CA","pot",354.2674
1991,"CA","trawl",2196.0321
1991,"OR","hkl",1497.0901
1991,"OR","pot",1419.1166
1991,"OR","trawl",4921.4477
1991,"WA","hkl",1906.8197
1991,"WA","trawl",329.6701
1992,"CA","hkl",804.6165
1992,"CA","pot",394.2912
1992,"CA","trawl",2516.2724
1992,"OR","hkl",1901.6778
1992,"OR","pot",804.5945
1992,"OR","trawl",5107.9672
1992,"WA","hkl",1388.1168
1992,"WA","pot",6.9004
1992,"WA","trawl",394.7887
1993,"CA","hkl",464.4109
1993,"CA","pot",197.6905
1993,"CA","trawl",1936.0179
1993,"OR","hkl",1415.6614
1993,"OR","pot",1316.3592
1993,"OR","trawl",5031.7085
1993,"WA","hkl",1203.863
1993,"WA","pot",0.0523
1993,"WA","trawl",508.9406
1994,"CA","hkl",581.0203
1994,"CA","pot",184.9709
1994,"CA","trawl",1419.8006
1994,"OR","hkl",1732.5482
