"Year","Quantity","Assessment_Year","Value"
2005,"SSB","2005",NA
2005,"SSB","2007",88531
2005,"SSB","2011",85741
2005,"SSB","2015",75199.9
2006,"SSB","2005",NA
2006,"SSB","2007",91607
2006,"SSB","2011",83508
2006,"SSB","2015",74484.6
2007,"SSB","2005",NA
2007,"SSB","2007",93831.2
2007,"SSB","2011",80139.2
2007,"SSB","2015",72608.9
2008,"SSB","2005",NA
2008,"SSB","2007",NA
2008,"SSB","2011",75949
2008,"SSB","2015",69740.5
2009,"SSB","2005",NA
2009,"SSB","2007",NA
2009,"SSB","2011",70773.3
2009,"SSB","2015",65697.6
2010,"SSB","2005",NA
2010,"SSB","2007",NA
2010,"SSB","2011",64499.6
2010,"SSB","2015",60360.2
2011,"SSB","2005",NA
2011,"SSB","2007",NA
2011,"SSB","2011",60956.6
2011,"SSB","2015",57637.4
2012,"SSB","2005",NA
2012,"SSB","2007",NA
2012,"SSB","2011",NA
2012,"SSB","2015",54799.7
2013,"SSB","2005",NA
2013,"SSB","2007",NA
2013,"SSB","2011",NA
2013,"SSB","2015",53841.2
2014,"SSB","2005",NA
2014,"SSB","2007",NA
2014,"SSB","2011",NA
2014,"SSB","2015",53125.2
2015,"SSB","2005",NA
2015,"SSB","2007",NA
2015,"SSB","2011",NA
2015,"SSB","2015",52000.9
2016,"SSB","2005",NA
2016,"SSB","2007",NA
2016,"SSB","2011",NA
2016,"SSB","2015",NA
2017,"SSB","2005",NA
2017,"SSB","2007",NA
2017,"SSB","2011",NA
2017,"SSB","2015",NA
2018,"SSB","2005",NA
2018,"SSB","2007",NA
2018,"SSB","2011",NA
2018,"SSB","2015",NA
2019,"SSB","2005",NA
2019,"SSB","2007",NA
2019,"SSB","2011",NA
2019,"SSB","2015",NA
1888,"SSB (MT)","2019",147729
1889,"SSB (MT)","2019",147729
1890,"SSB (MT)","2019",142978
1891,"SSB (MT)","2019",142636
1892,"SSB (MT)","2019",142275
1893,"SSB (MT)","2019",141895
1894,"SSB (MT)","2019",141490
1895,"SSB (MT)","2019",141059
1896,"SSB (MT)","2019",140601
1897,"SSB (MT)","2019",140120
1898,"SSB (MT)","2019",139614
1899,"SSB (MT)","2019",139086
1900,"SSB (MT)","2019",138533
1901,"SSB (MT)","2019",137941
1902,"SSB (MT)","2019",137309
1903,"SSB (MT)","2019",136636
1904,"SSB (MT)","2019",135921
1905,"SSB (MT)","2019",135164
1906,"SSB (MT)","2019",134393
1907,"SSB (MT)","2019",133597
1908,"SSB (MT)","2019",132771
1909,"SSB (MT)","2019",131953
1910,"SSB (MT)","2019",131072
1911,"SSB (MT)","2019",130128
1912,"SSB (MT)","2019",129120
1913,"SSB (MT)","2019",128050
1914,"SSB (MT)","2019",126919
1915,"SSB (MT)","2019",125729
1916,"SSB (MT)","2019",124482
1917,"SSB (MT)","2019",122707
1918,"SSB (MT)","2019",120565
1919,"SSB (MT)","2019",117856
1920,"SSB (MT)","2019",116264
1921,"SSB (MT)","2019",114818
1922,"SSB (MT)","2019",113214
1923,"SSB (MT)","2019",111780
1924,"SSB (MT)","2019",109974
1925,"SSB (MT)","2019",107949
1926,"SSB (MT)","2019",105745
1927,"SSB (MT)","2019",103759
1928,"SSB (MT)","2019",101312
1929,"SSB (MT)","2019",99020.6
1930,"SSB (MT)","2019",96580.9
1931,"SSB (MT)","2019",93919.3
1932,"SSB (MT)","2019",91914.3
1933,"SSB (MT)","2019",89789.7
1934,"SSB (MT)","2019",87834.1
1935,"SSB (MT)","2019",85303.6
1936,"SSB (MT)","2019",82397
1937,"SSB (MT)","2019",80028.4
1938,"SSB (MT)","2019",77643
1939,"SSB (MT)","2019",75442.6
1940,"SSB (MT)","2019",73133.7
1941,"SSB (MT)","2019",71224.6
1942,"SSB (MT)","2019",69583.1
1943,"SSB (MT)","2019",67634.2
1944,"SSB (MT)","2019",65639.1
1945,"SSB (MT)","2019",63490.2
1946,"SSB (MT)","2019",61244.7
1947,"SSB (MT)","2019",58726.2
1948,"SSB (MT)","2019",57319.3
1949,"SSB (MT)","2019",55896
1950,"SSB (MT)","2019",54597.1
1951,"SSB (MT)","2019",53621.9
1952,"SSB (MT)","2019",51980.4
1953,"SSB (MT)","2019",51309.2
1954,"SSB (MT)","2019",51446
1955,"SSB (MT)","2019",51679.1
1956,"SSB (MT)","2019",52356.5
1957,"SSB (MT)","2019",52896.2
1958,"SSB (MT)","2019",53985.9
1959,"SSB (MT)","2019",56463.3
1960,"SSB (MT)","2019",59527.5
1961,"SSB (MT)","2019",62948.2
1962,"SSB (MT)","2019",69694.5
1963,"SSB (MT)","2019",81751.3
1964,"SSB (MT)","2019",94162.1
1965,"SSB (MT)","2019",103644
1966,"SSB (MT)","2019",110669
1967,"SSB (MT)","2019",117800
1968,"SSB (MT)","2019",126880
